name,website,district,state,region_category,party,committee
"Moolenaar, John",https://moolenaar.house.gov/,2nd,Michigan,State,R,Appropriations|Select Comm on the Strategic Competition US and China
"Moore, Barry",https://barrymoore.house.gov,1st,Alabama,State,R,Agriculture|Judiciary
"Moore, Blake",https://blakemoore.house.gov,1st,Utah,State,R,Budget|Ways and Means
"Moore, Gwen",https://gwenmoore.house.gov,4th,Wisconsin,State,D,Ways and Means
"Moore, Riley",https://rileymoore.house.gov/,2nd,West Virginia,State,R,Appropriations
"Moore, Tim",https://timmoore.house.gov/,14th,North Carolina,State,R,Financial Services|Budget
"Moran, Nathaniel",https://moran.house.gov,1st,Texas,State,R,Ethics|Ways and Means|Select Comm on the Strategic Competition US and China
"Morelle, Joseph",https://morelle.house.gov,25th,New York,State,D,Appropriations|House Administration|Joint Committee of Congress on the Library
"Morrison, Kelly",https://morrison.house.gov/,3rd,Minnesota,State,D,Small Business|Veterans' Affairs
"Moskowitz, Jared",https://moskowitz.house.gov,23rd,Florida,State,D,"Foreign Affairs|Judiciary|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Moulton, Seth",https://moulton.house.gov/,6th,Massachusetts,State,D,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
"Moylan, James",https://moylan.house.gov,At-large,Guam Delegate,Unknown,R,Armed Services|Education and Workforce|Foreign Affairs
"Mrvan, Frank",https://mrvan.house.gov,1st,Indiana,State,D,Appropriations
"Mullin, Kevin",https://kevinmullin.house.gov,15th,California,State,D,Energy and Commerce
"Murphy, Gregory",https://murphy.house.gov,3rd,North Carolina,State,R,House Administration|Veterans' Affairs|Ways and Means
"Nadler, Jerrold",https://nadler.house.gov,12th,New York,State,D,Judiciary|Transportation and Infrastructure
"Neal, Richard",https://neal.house.gov/,1st,Massachusetts,State,D,Joint Committee on Taxation|Ways and Means
"Neguse, Joe",https://neguse.house.gov/,2nd,Colorado,State,D,Natural Resources|Judiciary|Rules
"Nehls, Troy",https://nehls.house.gov,22nd,Texas,State,R,"Judiciary|Transportation and Infrastructure|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Newhouse, Dan",https://newhouse.house.gov,4th,Washington,State,R,Agriculture|Appropriations|Select Comm on the Strategic Competition US and China
"Norcross, Donald",https://norcross.house.gov,1st,New Jersey,State,D,Armed Services|Education and Workforce
"Norman, Ralph",https://norman.house.gov,5th,South Carolina,State,R,Financial Services|Budget|Rules
"Norton, Eleanor",https://norton.house.gov/,At-large,District of Columbia Delegate,Unknown,D,Oversight and Government Reform|Transportation and Infrastructure
"Nunn, Zachary",https://nunn.house.gov,3rd,Iowa,State,R,Agriculture|Financial Services|Select Comm on the Strategic Competition US and China
"Obernolte, Jay",https://obernolte.house.gov,23rd,California,State,R,"Budget|Energy and Commerce|Science, Space, and Technology"
"Ocasio-Cortez, Alexandria",https://ocasio-cortez.house.gov/,14th,New York,State,D,Energy and Commerce
"Ogles, Andrew",https://ogles.house.gov,5th,Tennessee,State,R,Financial Services|Homeland Security
"Olszewski, Johnny",https://olszewski.house.gov/,2nd,Maryland,State,D,Foreign Affairs|Small Business
"Omar, Ilhan",https://omar.house.gov/,5th,Minnesota,State,D,Budget|Education and Workforce
"Onder, Robert",https://onder.house.gov/,3rd,Missouri,State,R,Education and Workforce|Judiciary|Transportation and Infrastructure
"Owens, Burgess",https://owens.house.gov,4th,Utah,State,R,Education and Workforce|Transportation and Infrastructure
"Pallone, Frank",https://pallone.house.gov,6th,New Jersey,State,D,Energy and Commerce
"Palmer, Gary",https://palmer.house.gov/,6th,Alabama,State,R,Oversight and Government Reform|Energy and Commerce
"Panetta, Jimmy",https://panetta.house.gov,19th,California,State,D,Budget|Ways and Means
"Pappas, Chris",https://pappas.house.gov,1st,New Hampshire,State,D,Transportation and Infrastructure|Veterans' Affairs
"Patronis, Jimmy",https://patronis.house.gov/,1st,Florida,State,R,Transportation and Infrastructure|Small Business
"Pelosi, Nancy",https://pelosi.house.gov/,11th,California,State,D,
"Perez, Marie",https://gluesenkampperez.house.gov,3rd,Washington,State,D,Appropriations
"Perry, Scott",https://perry.house.gov/,10th,Pennsylvania,State,R,Foreign Affairs|Oversight and Government Reform|Intelligence|Transportation and Infrastructure
"Peters, Scott",https://scottpeters.house.gov,50th,California,State,D,Budget|Energy and Commerce
"Pettersen, Brittany",https://pettersen.house.gov,7th,Colorado,State,D,Financial Services
"Pfluger, August",https://pfluger.house.gov,11th,Texas,State,R,Homeland Security|Energy and Commerce
"Pingree, Chellie",https://pingree.house.gov/,1st,Maine,State,D,Agriculture|Appropriations
"Plaskett, Stacey",https://plaskett.house.gov/,At-large,Virgin Islands Delegate,Unknown,D,Budget|Intelligence|Ways and Means
"Pocan, Mark",https://pocan.house.gov,2nd,Wisconsin,State,D,Appropriations
"Pou, Nellie",https://pou.house.gov/,9th,New Jersey,State,D,Homeland Security|Transportation and Infrastructure
"Pressley, Ayanna",https://pressley.house.gov,7th,Massachusetts,State,D,Financial Services|Oversight and Government Reform
"Quigley, Mike",https://quigley.house.gov/,5th,Illinois,State,D,Appropriations|Intelligence
"Radewagen, Aumua Amata",https://radewagen.house.gov,At-large,American Samoa Delegate,Unknown,R,Foreign Affairs|Natural Resources|Veterans' Affairs
"Ramirez, Delia",https://ramirez.house.gov,3rd,Illinois,State,D,Homeland Security|Veterans' Affairs
"Randall, Emily",https://randall.house.gov/,6th,Washington,State,D,Oversight and Government Reform|Natural Resources
"Raskin, Jamie",https://raskin.house.gov,8th,Maryland,State,D,Judiciary
"Reschenthaler, Guy",https://reschenthaler.house.gov/,14th,Pennsylvania,State,R,Appropriations
"Riley, Josh",https://riley.house.gov/,19th,New York,State,D,"Agriculture|Science, Space, and Technology"
"Rivas, Luz",https://rivas.house.gov/,29th,California,State,D,"Natural Resources|Science, Space, and Technology"
"Rogers, Harold",https://halrogers.house.gov/,5th,Kentucky,State,R,Appropriations
"Rogers, Mike",https://mikerogers.house.gov/,3rd,Alabama,State,R,Armed Services
"Rose, John",https://johnrose.house.gov/,6th,Tennessee,State,R,Agriculture|Financial Services
"Ross, Deborah",https://ross.house.gov,2nd,North Carolina,State,D,"Judiciary|Ethics|Science, Space, and Technology"
"Rouzer, David",https://rouzer.house.gov/,7th,North Carolina,State,R,"Agriculture|Transportation and Infrastructure|Science, Space, and Technology"
"Roy, Chip",https://roy.house.gov,21st,Texas,State,R,Budget|Judiciary|Rules
"Ruiz, Raul",https://ruiz.house.gov,25th,California,State,D,Energy and Commerce
"Rulli, Michael A.",https://rulli.house.gov,6th,Ohio,State,R,Education and Workforce|Energy and Commerce
"Rutherford, John",https://rutherford.house.gov,5th,Florida,State,R,Appropriations
"Ryan, Patrick",https://patryan.house.gov/,18th,New York,State,D,Armed Services|Transportation and Infrastructure
"Salazar, Maria",https://salazar.house.gov,27th,Florida,State,R,Financial Services|Foreign Affairs
"Salinas, Andrea",https://salinas.house.gov,6th,Oregon,State,D,"Agriculture|Science, Space, and Technology"
"Sanchez, Linda",https://lindasanchez.house.gov/,38th,California,State,D,Ways and Means
"Scalise, Steve",https://scalise.house.gov/,1st,Louisiana,State,R,
"Scanlon, Mary Gay",https://scanlon.house.gov/,5th,Pennsylvania,State,D,Judiciary|Rules
"Schakowsky, Janice",https://schakowsky.house.gov,9th,Illinois,State,D,Energy and Commerce
"Schmidt, Derek",https://schmidt.house.gov/,2nd,Kansas,State,R,Armed Services|Judiciary|Small Business
"Schneider, Bradley",https://schneider.house.gov,10th,Illinois,State,D,Foreign Affairs|Ways and Means
"Scholten, Hillary",https://scholten.house.gov,3rd,Michigan,State,D,Transportation and Infrastructure|Small Business
"Schrier, Kim",https://schrier.house.gov,8th,Washington,State,D,Energy and Commerce
"Schweikert, David",https://schweikert.house.gov/,1st,Arizona,State,R,Ways and Means
"Scott, Austin",https://austinscott.house.gov/,8th,Georgia,State,R,Agriculture|Armed Services|Intelligence|Rules
"Scott, David",https://davidscott.house.gov/,13th,Georgia,State,D,Agriculture|Financial Services
"Scott, Robert",https://bobbyscott.house.gov,3rd,Virginia,State,D,Budget|Education and Workforce
"Self, Keith",https://keithself.house.gov,3rd,Texas,State,R,"Foreign Affairs|Science, Space, and Technology|Veterans' Affairs"
"Sessions, Pete",https://sessions.house.gov,17th,Texas,State,R,Financial Services|Oversight and Government Reform
"Sewell, Terri",https://sewell.house.gov/,7th,Alabama,State,D,House Administration|Ways and Means
"Sherman, Brad",https://sherman.house.gov,32nd,California,State,D,Financial Services|Foreign Affairs
"Sherrill, Mikie",https://clerk.house.gov/members/NJ11/vacancy,11th,New Jersey,State,,
"Shreve, Jefferson",https://shreve.house.gov/,6th,Indiana,State,R,Foreign Affairs|Transportation and Infrastructure
"Simon, Lateefah",https://simon.house.gov/,12th,California,State,D,Oversight and Government Reform|Small Business
"Simpson, Michael",https://simpson.house.gov,2nd,Idaho,State,R,Appropriations
"Smith, Adam",https://adamsmith.house.gov/,9th,Washington,State,D,Armed Services
"Smith, Adrian",https://adriansmith.house.gov/,3rd,Nebraska,State,R,Joint Committee on Taxation|Ways and Means
"Smith, Christopher",https://chrissmith.house.gov/,4th,New Jersey,State,R,Foreign Affairs
"Smith, Jason",https://jasonsmith.house.gov,8th,Missouri,State,R,Joint Committee on Taxation|Ways and Means
"Smucker, Lloyd",https://smucker.house.gov/,11th,Pennsylvania,State,R,Budget|Ways and Means
"Sorensen, Eric",https://sorensen.house.gov,17th,Illinois,State,D,Agriculture|Armed Services
"Soto, Darren",https://soto.house.gov,9th,Florida,State,D,Energy and Commerce|Natural Resources
"Spartz, Victoria",https://spartz.house.gov,5th,Indiana,State,R,
"Stansbury, Melanie",https://stansbury.house.gov/,1st,New Mexico,State,D,Oversight and Government Reform|Natural Resources
"Stanton, Greg",https://stanton.house.gov/,4th,Arizona,State,D,Foreign Affairs|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
"Stauber, Pete",https://stauber.house.gov,8th,Minnesota,State,R,Natural Resources|Transportation and Infrastructure|Small Business
"Stefanik, Elise",https://stefanik.house.gov/,21st,New York,State,R,Armed Services|Education and Workforce|Intelligence
"Steil, Bryan",https://steil.house.gov,1st,Wisconsin,State,R,Financial Services|House Administration|Joint Committee of Congress on the Library
"Steube, W.",https://steube.house.gov/,17th,Florida,State,R,Intelligence|Ways and Means
"Stevens, Haley",https://stevens.house.gov/,11th,Michigan,State,D,"Education and Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China"
"Strickland, Marilyn",https://strickland.house.gov,10th,Washington,State,D,Armed Services|Transportation and Infrastructure
"Strong, Dale",https://strong.house.gov,5th,Alabama,State,R,Appropriations|Homeland Security
"Stutzman, Marlin",https://stutzman.house.gov/,3rd,Indiana,State,R,Financial Services|Budget
"Subramanyam, Suhas",https://subramanyam.house.gov/,10th,Virginia,State,D,"Oversight and Government Reform|Ethics|Science, Space, and Technology"
"Suozzi, Thomas R.",https://suozzi.house.gov,3rd,New York,State,D,Ways and Means
"Swalwell, Eric",https://swalwell.house.gov,14th,California,State,D,"Homeland Security|Judiciary|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Sykes, Emilia",https://sykes.house.gov,13th,Ohio,State,D,"Transportation and Infrastructure|Science, Space, and Technology"
"Takano, Mark",https://takano.house.gov,39th,California,State,D,Education and Workforce|Veterans' Affairs
"Taylor, David",https://taylor.house.gov/,2nd,Ohio,State,R,Agriculture|Transportation and Infrastructure
"Tenney, Claudia",https://tenney.house.gov/,24th,New York,State,R,"Intelligence|Science, Space, and Technology|Ways and Means"
"Thanedar, Shri",https://thanedar.house.gov,13th,Michigan,State,D,Agriculture|Homeland Security
"Thompson, Bennie",https://benniethompson.house.gov/,2nd,Mississippi,State,D,Homeland Security
"Thompson, Glenn",https://thompson.house.gov,15th,Pennsylvania,State,R,Agriculture|Education and Workforce
"Thompson, Mike",https://mikethompson.house.gov/,4th,California,State,D,Ways and Means
"Tiffany, Thomas",https://tiffany.house.gov/,7th,Wisconsin,State,R,Natural Resources|Judiciary
"Timmons, William",https://timmons.house.gov/,4th,South Carolina,State,R,Financial Services|Oversight and Government Reform
"Titus, Dina",https://titus.house.gov/,1st,Nevada,State,D,Foreign Affairs|Transportation and Infrastructure
"Tlaib, Rashida",https://tlaib.house.gov/,12th,Michigan,State,D,Financial Services|Oversight and Government Reform
"Tokuda, Jill",https://tokuda.house.gov,2nd,Hawaii,State,D,Agriculture|Armed Services|Select Comm on the Strategic Competition US and China
"Tonko, Paul",https://tonko.house.gov/,20th,New York,State,D,Budget|Energy and Commerce
"Torres, Norma",https://torres.house.gov/,35th,California,State,D,Appropriations|House Administration
"Torres, Ritchie",https://ritchietorres.house.gov,15th,New York,State,D,Financial Services|Select Comm on the Strategic Competition US and China
"Trahan, Lori",https://trahan.house.gov,3rd,Massachusetts,State,D,Energy and Commerce
"Tran, Derek",https://tran.house.gov/,45th,California,State,D,Armed Services|Small Business
"Turner, Michael",https://turner.house.gov/,10th,Ohio,State,R,Armed Services|Oversight and Government Reform
"Underwood, Lauren",https://underwood.house.gov/,14th,Illinois,State,D,Appropriations
"Valadao, David",https://valadao.house.gov,22nd,California,State,R,Appropriations|Joint Committee of Congress on the Library
"Van Drew, Jefferson",https://vandrew.house.gov,2nd,New Jersey,State,R,Judiciary|Transportation and Infrastructure
"Van Duyne, Beth",https://vanduyne.house.gov,24th,Texas,State,R,Small Business|Ways and Means
"Van Epps, Matt",https://vanepps.house.gov/,7th,Tennessee,State,R,"Homeland Security|Science, Space, and Technology"
"Van Orden, Derrick",https://vanorden.house.gov,3rd,Wisconsin,State,R,Agriculture|Armed Services|Veterans' Affairs
"Vargas, Juan",https://vargas.house.gov,52nd,California,State,D,Financial Services
"Vasquez, Gabe",https://vasquez.house.gov,2nd,New Mexico,State,D,Agriculture|Armed Services
"Veasey, Marc",https://veasey.house.gov,33rd,Texas,State,D,Energy and Commerce
"Velazquez, Nydia",https://velazquez.house.gov,7th,New York,State,D,Financial Services|Small Business
"Vindman, Eugene",https://vindman.house.gov/,7th,Virginia,State,D,Agriculture|Armed Services
"Wagner, Ann",https://wagner.house.gov,2nd,Missouri,State,R,Financial Services|Intelligence
"Walberg, Tim",https://walberg.house.gov/,5th,Michigan,State,R,Education and Workforce|Natural Resources
"Walkinshaw, James",https://walkinshaw.house.gov/,11th,Virginia,State,D,Oversight and Government Reform|Homeland Security
"Wasserman Schultz, Debbie",https://wassermanschultz.house.gov/,25th,Florida,State,D,Appropriations
"Waters, Maxine",https://waters.house.gov,43rd,California,State,D,Financial Services
"Watson Coleman, Bonnie",https://watsoncoleman.house.gov/,12th,New Jersey,State,D,Appropriations|Budget
"Weber, Randy",https://weber.house.gov,14th,Texas,State,R,"Energy and Commerce|Science, Space, and Technology"
"Webster, Daniel",https://webster.house.gov/,11th,Florida,State,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
"Westerman, Bruce",https://westerman.house.gov/,4th,Arkansas,State,R,Natural Resources|Transportation and Infrastructure
"Whitesides, George",https://whitesides.house.gov/,27th,California,State,D,"Armed Services|Science, Space, and Technology"
"Wied, Tony",https://wied.house.gov/,8th,Wisconsin,State,R,Agriculture|Transportation and Infrastructure|Small Business
"Williams, Nikema",https://nikemawilliams.house.gov,5th,Georgia,State,D,Financial Services
"Williams, Roger",https://williams.house.gov,25th,Texas,State,R,Financial Services|Small Business
"Wilson, Frederica",https://wilson.house.gov/,24th,Florida,State,D,Education and Workforce|Transportation and Infrastructure
"Wilson, Joe",https://joewilson.house.gov/,2nd,South Carolina,State,R,Armed Services|Education and Workforce|Foreign Affairs
"Wittman, Robert",https://wittman.house.gov/,1st,Virginia,State,R,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China
"Womack, Steve",https://womack.house.gov/,3rd,Arkansas,State,R,Appropriations
"Yakym, Rudy",https://yakym.house.gov,2nd,Indiana,State,R,Ways and Means
"Zinke, Ryan",https://zinke.house.gov,1st,Montana,State,R,Appropriations|Foreign Affairs
