name,website,district,state,region_category,party,committee
"Davidson, Warren",https://davidson.house.gov/,8th,Ohio,State,R,Financial Services|Foreign Affairs
"Davis, Danny",https://davis.house.gov,7th,Illinois,State,D,Ways and Means
"Davis, Donald",https://dondavis.house.gov,1st,North Carolina,State,D,Agriculture|Armed Services
"Dean, Madeleine",https://dean.house.gov,4th,Pennsylvania,State,D,Appropriations|Foreign Affairs
"DeGette, Diana",https://degette.house.gov,1st,Colorado,State,D,Energy and Commerce
"De La Cruz, Monica",https://delacruz.house.gov,15th,Texas,State,R,Agriculture|Financial Services
"DeLauro, Rosa",https://delauro.house.gov/,3rd,Connecticut,State,D,Appropriations
"DelBene, Suzan",https://delbene.house.gov,1st,Washington,State,D,Ways and Means
"Deluzio, Christopher",https://deluzio.house.gov,17th,Pennsylvania,State,D,Armed Services|Transportation and Infrastructure
"DeSaulnier, Mark",https://desaulnier.house.gov/,10th,California,State,D,Education and Workforce|Transportation and Infrastructure|Ethics
"DesJarlais, Scott",https://desjarlais.house.gov/,4th,Tennessee,State,R,Agriculture|Armed Services
"Dexter, Maxine",https://dexter.house.gov/,3rd,Oregon,State,D,Natural Resources|Veterans' Affairs
"Diaz-Balart, Mario",https://mariodiazbalart.house.gov/,26th,Florida,State,R,Appropriations
"Dingell, Debbie",https://debbiedingell.house.gov/,6th,Michigan,State,D,Energy and Commerce|Natural Resources
"Doggett, Lloyd",https://doggett.house.gov,37th,Texas,State,D,Budget|Joint Committee on Taxation|Ways and Means
"Donalds, Byron",https://donalds.house.gov,19th,Florida,State,R,Financial Services|Oversight and Government Reform
"Downing, Troy",https://downing.house.gov/,2nd,Montana,State,R,Financial Services|Small Business
"Dunn, Neal",https://dunn.house.gov,2nd,Florida,State,R,Energy and Commerce|Select Comm on the Strategic Competition US and China
"Edwards, Chuck",https://edwards.house.gov,11th,North Carolina,State,R,Appropriations|Budget
"Elfreth, Sarah",https://elfreth.house.gov/,3rd,Maryland,State,D,Armed Services|Natural Resources
"Ellzey, Jake",https://ellzey.house.gov/,6th,Texas,State,R,Appropriations|Small Business
"Emmer, Tom",https://emmer.house.gov/,6th,Minnesota,State,R,Financial Services
"Escobar, Veronica",https://escobar.house.gov,16th,Texas,State,D,Appropriations|Budget
"Espaillat, Adriano",https://espaillat.house.gov,13th,New York,State,D,Appropriations
"Estes, Ron",https://estes.house.gov/,4th,Kansas,State,R,Budget|Ways and Means
"Evans, Dwight",https://evans.house.gov/,3rd,Pennsylvania,State,D,Ways and Means
"Evans, Gabe",https://gabeevans.house.gov/,8th,Colorado,State,R,Homeland Security|Energy and Commerce
"Ezell, Mike",https://ezell.house.gov,4th,Mississippi,State,R,Natural Resources|Transportation and Infrastructure
"Fallon, Pat",https://fallon.house.gov,4th,Texas,State,R,Armed Services|Oversight and Government Reform|Intelligence
"Fedorchak, Julie",https://fedorchak.house.gov/,At-large,North Dakota At Large,Unknown,R,Energy and Commerce
"Feenstra, Randy",https://feenstra.house.gov,4th,Iowa,State,R,Agriculture|Ways and Means
"Fields, Cleo",https://fields.house.gov/,6th,Louisiana,State,D,Financial Services
"Figures, Shomari",https://figures.house.gov/,2nd,Alabama,State,D,Agriculture|Transportation and Infrastructure
"Fine, Randy",https://fine.house.gov/,6th,Florida,State,R,Education and Workforce|Foreign Affairs
"Finstad, Brad",https://finstad.house.gov/,1st,Minnesota,State,R,Agriculture|Armed Services|Small Business
"Fischbach, Michelle",https://fischbach.house.gov,7th,Minnesota,State,R,Rules|Ways and Means
"Fitzgerald, Scott",https://fitzgerald.house.gov,5th,Wisconsin,State,R,Financial Services|Judiciary
"Fitzpatrick, Brian",https://fitzpatrick.house.gov/,1st,Pennsylvania,State,R,Intelligence|Ways and Means
"Fleischmann, Charles",https://fleischmann.house.gov/,3rd,Tennessee,State,R,"Appropriations|Science, Space, and Technology"
"Fletcher, Lizzie",https://fletcher.house.gov,7th,Texas,State,D,Energy and Commerce
"Flood, Mike",https://flood.house.gov/,1st,Nebraska,State,R,Financial Services
"Fong, Vince",https://fong.house.gov/,20th,California,State,R,"Homeland Security|Transportation and Infrastructure|Science, Space, and Technology"
"Foster, Bill",https://foster.house.gov,11th,Illinois,State,D,"Financial Services|Science, Space, and Technology"
"Foushee, Valerie",https://foushee.house.gov,4th,North Carolina,State,D,"Transportation and Infrastructure|Science, Space, and Technology"
"Foxx, Virginia",https://foxx.house.gov/,5th,North Carolina,State,R,Education and Workforce|Oversight and Government Reform|Rules
"Frankel, Lois",https://frankel.house.gov,22nd,Florida,State,D,Appropriations
"Franklin, Scott",https://franklin.house.gov,18th,Florida,State,R,"Appropriations|Science, Space, and Technology"
"Friedman, Laura",https://friedman.house.gov/,30th,California,State,D,"Transportation and Infrastructure|Science, Space, and Technology"
"Frost, Maxwell",https://frost.house.gov,10th,Florida,State,D,Oversight and Government Reform|Transportation and Infrastructure
"Fry, Russell",https://fry.house.gov,7th,South Carolina,State,R,Energy and Commerce|Judiciary
"Fulcher, Russ",https://fulcher.house.gov/,1st,Idaho,State,R,Energy and Commerce|Natural Resources
"Garamendi, John",https://garamendi.house.gov/,8th,California,State,D,Armed Services|Transportation and Infrastructure
"Garbarino, Andrew",https://garbarino.house.gov,2nd,New York,State,R,Financial Services|Homeland Security|Ethics
"Garcia, Jesus",https://chuygarcia.house.gov/,4th,Illinois,State,D,Judiciary|Transportation and Infrastructure
"Garcia, Robert",https://robertgarcia.house.gov,42nd,California,State,D,Oversight and Government Reform|Transportation and Infrastructure
"Garcia, Sylvia",https://sylviagarcia.house.gov/,29th,Texas,State,D,Financial Services|Ethics
"Gill, Brandon",https://gill.house.gov/,26th,Texas,State,R,Budget|Oversight and Government Reform|Judiciary
"Gillen, Laura",https://gillen.house.gov/,4th,New York,State,D,"Transportation and Infrastructure|Science, Space, and Technology"
"Gimenez, Carlos",https://gimenez.house.gov,28th,Florida,State,R,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China
"Golden, Jared",https://golden.house.gov,2nd,Maine,State,D,Armed Services|Natural Resources
"Goldman, Craig",https://craiggoldman.house.gov/,12th,Texas,State,R,Energy and Commerce
"Goldman, Daniel",https://goldman.house.gov,10th,New York,State,D,Homeland Security|Judiciary
"Gomez, Jimmy",https://gomez.house.gov/,34th,California,State,D,Intelligence|Ways and Means
"Gonzales, Tony",https://gonzales.house.gov,23rd,Texas,State,R,Appropriations|Homeland Security
"Gonzalez, Vicente",https://gonzalez.house.gov,34th,Texas,State,D,Financial Services
"Gooden, Lance",https://gooden.house.gov,5th,Texas,State,R,Armed Services|Judiciary
"Goodlander, Maggie",https://goodlander.house.gov/,2nd,New Hampshire,State,D,Armed Services|Small Business
"Gosar, Paul",https://gosar.house.gov/,9th,Arizona,State,R,Oversight and Government Reform|Natural Resources
"Gottheimer, Josh",https://gottheimer.house.gov,5th,New Jersey,State,D,Financial Services|Intelligence
"Graves, Sam",https://graves.house.gov/,6th,Missouri,State,R,Armed Services|Transportation and Infrastructure
"Gray, Adam",https://gray.house.gov/,13th,California,State,D,Agriculture|Natural Resources
"Green, Al",https://algreen.house.gov,9th,Texas,State,D,Financial Services|Homeland Security
"Greene, Marjorie Taylor",https://clerk.house.gov/members/GA14/vacancy,14th,Georgia,State,,
"Griffith, H.",https://morgangriffith.house.gov/,9th,Virginia,State,R,"House Administration|Energy and Commerce|Select Subcomm to Investigate Questions about Jan 6, 2021|Rules"
"Grijalva, Adelita",https://grijalva.house.gov/,7th,Arizona,State,D,Education and Workforce|Natural Resources
"Grothman, Glenn",https://grothman.house.gov,6th,Wisconsin,State,R,Budget|Education and Workforce|Oversight and Government Reform|Judiciary
"Guest, Michael",https://guest.house.gov,3rd,Mississippi,State,R,Appropriations|Homeland Security|Ethics
"Guthrie, Brett",https://guthrie.house.gov/,2nd,Kentucky,State,R,Energy and Commerce
"Hageman, Harriet",https://hageman.house.gov,At-large,Wyoming At Large,Unknown,R,"Natural Resources|Judiciary|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Hamadeh, Abraham",https://hamadeh.house.gov/,8th,Arizona,State,R,Armed Services|Veterans' Affairs
"Harder, Josh",https://harder.house.gov/,9th,California,State,D,Appropriations
"Haridopolos, Mike",https://haridopolos.house.gov/,8th,Florida,State,R,"Financial Services|Science, Space, and Technology"
"Harrigan, Pat",https://harrigan.house.gov/,10th,North Carolina,State,R,"Armed Services|Science, Space, and Technology"
"Harris, Andy",https://harris.house.gov/,1st,Maryland,State,R,Appropriations
"Harris, Mark",https://markharris.house.gov/,8th,North Carolina,State,R,Agriculture|Education and Workforce|Judiciary
"Harshbarger, Diana",https://harshbarger.house.gov,1st,Tennessee,State,R,Energy and Commerce
"Hayes, Jahana",https://hayes.house.gov,5th,Connecticut,State,D,Agriculture|Education and Workforce
"Hern, Kevin",https://hern.house.gov,1st,Oklahoma,State,R,Ways and Means
"Hernandez, Pablo",https://hernandez.house.gov/,At-large,Puerto Rico Resident Commissioner,Unknown,D,Homeland Security|Natural Resources
"Higgins, Clay",https://clayhiggins.house.gov,3rd,Louisiana,State,R,"Armed Services|Oversight and Government Reform|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Hill, J.",https://hill.house.gov/,2nd,Arkansas,State,R,Financial Services|Intelligence
"Himes, James",https://himes.house.gov/,4th,Connecticut,State,D,Financial Services|Intelligence
"Hinson, Ashley",https://hinson.house.gov,2nd,Iowa,State,R,Appropriations|Ethics|Select Comm on the Strategic Competition US and China
"Horsford, Steven",https://horsford.house.gov,4th,Nevada,State,D,Ways and Means
"Houchin, Erin",https://houchin.house.gov,9th,Indiana,State,R,Budget|Energy and Commerce|Rules
"Houlahan, Chrissy",https://houlahan.house.gov/,6th,Pennsylvania,State,D,Armed Services|Intelligence
"Hoyer, Steny",https://hoyer.house.gov/,5th,Maryland,State,D,Appropriations
"Hoyle, Val",https://hoyle.house.gov,4th,Oregon,State,D,Natural Resources|Transportation and Infrastructure
"Hudson, Richard",https://hudson.house.gov,9th,North Carolina,State,R,Energy and Commerce
"Huffman, Jared",https://huffman.house.gov,2nd,California,State,D,Natural Resources|Transportation and Infrastructure
"Huizenga, Bill",https://huizenga.house.gov/,4th,Michigan,State,R,Financial Services|Foreign Affairs
"Hunt, Wesley",https://hunt.house.gov,38th,Texas,State,R,Natural Resources|Judiciary
"Hurd, Jeff",https://hurd.house.gov/,3rd,Colorado,State,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
"Issa, Darrell",https://issa.house.gov,48th,California,State,R,"Foreign Affairs|Judiciary|Science, Space, and Technology"
"Ivey, Glenn",https://ivey.house.gov,4th,Maryland,State,D,Appropriations|Ethics
"Jack, Brian",https://jack.house.gov/,3rd,Georgia,State,R,Oversight and Government Reform|Rules|Small Business
"Jackson, Jonathan",https://jonathanjackson.house.gov,1st,Illinois,State,D,Agriculture|Foreign Affairs
"Jackson, Ronny",https://jackson.house.gov,13th,Texas,State,R,Agriculture|Armed Services|Foreign Affairs|Intelligence
"Jacobs, Sara",https://sarajacobs.house.gov,51st,California,State,D,Armed Services|Foreign Affairs
"James, John",https://james.house.gov,10th,Michigan,State,R,Energy and Commerce
"Jayapal, Pramila",https://jayapal.house.gov,7th,Washington,State,D,Budget|Foreign Affairs|Judiciary
"Jeffries, Hakeem",https://jeffries.house.gov,8th,New York,State,D,
"Johnson, Dusty",https://dustyjohnson.house.gov/,At-large,South Dakota At Large,Unknown,R,Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
"Johnson, Henry",https://hankjohnson.house.gov/,4th,Georgia,State,D,Judiciary|Transportation and Infrastructure
"Johnson, Julie",https://juliejohnson.house.gov/,32nd,Texas,State,D,Foreign Affairs|House Administration|Homeland Security|Joint Committee of Congress on the Library
"Johnson, Mike",https://mikejohnson.house.gov,4th,Louisiana,State,R,
"Jordan, Jim",https://jordan.house.gov/,4th,Ohio,State,R,Oversight and Government Reform|Judiciary
"Joyce, David",https://joyce.house.gov,14th,Ohio,State,R,Appropriations
"Joyce, John",https://johnjoyce.house.gov/,13th,Pennsylvania,State,R,Energy and Commerce
"Kamlager-Dove, Sydney",https://kamlager-dove.house.gov,37th,California,State,D,Foreign Affairs|Judiciary
"Kaptur, Marcy",https://kaptur.house.gov/,9th,Ohio,State,D,Appropriations|Budget
"Kean, Thomas",https://kean.house.gov,7th,New Jersey,State,R,Foreign Affairs|Energy and Commerce
"Keating, William",https://keating.house.gov/,9th,Massachusetts,State,D,Armed Services|Foreign Affairs
"Kelly, Mike",https://kelly.house.gov,16th,Pennsylvania,State,R,Ways and Means
"Kelly, Robin",https://robinkelly.house.gov/,2nd,Illinois,State,D,Energy and Commerce
"Kelly, Trent",https://trentkelly.house.gov/,1st,Mississippi,State,R,Agriculture|Armed Services|Intelligence
"Kennedy, Mike",https://mikekennedy.house.gov/,3rd,Utah,State,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
"Kennedy, Timothy",https://kennedy.house.gov,26th,New York,State,D,Homeland Security|Veterans' Affairs
"Khanna, Ro",https://khanna.house.gov,17th,California,State,D,Armed Services|Oversight and Government Reform|Select Comm on the Strategic Competition US and China
"Kiggans, Jennifer",https://kiggans.house.gov,2nd,Virginia,State,R,Armed Services|Natural Resources|Veterans' Affairs
"Kiley, Kevin",https://kiley.house.gov,3rd,California,State,R,Education and Workforce|Judiciary|Transportation and Infrastructure
"Kim, Young",https://youngkim.house.gov,40th,California,State,R,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
"King-Hinds, Kimberlyn",https://king-hinds.house.gov/,At-large,Northern Mariana Islands Delegate,Unknown,R,Transportation and Infrastructure|Small Business|Veterans' Affairs
"Knott, Brad",https://knott.house.gov/,13th,North Carolina,State,R,Homeland Security|Judiciary|Transportation and Infrastructure|Ethics
"Krishnamoorthi, Raja",https://krishnamoorthi.house.gov,8th,Illinois,State,D,Oversight and Government Reform|Intelligence|Select Comm on the Strategic Competition US and China
"Kustoff, David",https://kustoff.house.gov,8th,Tennessee,State,R,Ways and Means
